"Refs","Value","Footprint","Qty","DNP"
"C1","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C2","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C3","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C4","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"D1","RED","LED_SMD:LED_0805_2012Metric","1",""
"D2","GREEN","LED_SMD:LED_0805_2012Metric","1",""
"J1","USB_C","charger:USB_C_Receptacle_HRO_TYPE-C-31-M-12","1",""
"J2","BATT","charger:JST_PH_B2B-PH-SM4-TB","1",""
"Q1","FS8205A","charger:TSSOP-8_4.4x3mm_P0.65mm","1",""
"R1","5.1k","Resistor_SMD:R_0805_2012Metric","1",""
"R2","5.1k","Resistor_SMD:R_0805_2012Metric","1",""
"R3","1.2k","Resistor_SMD:R_0805_2012Metric","1",""
"R4","1k","Resistor_SMD:R_0805_2012Metric","1",""
"R5","1k","Resistor_SMD:R_0805_2012Metric","1",""
"R6","100","Resistor_SMD:R_0805_2012Metric","1",""
"R7","1k","Resistor_SMD:R_0805_2012Metric","1",""
"U1","TP4056","charger:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3.0mm","1",""
"U2","DW01A","charger:SOT-23-6","1",""
