Ref,Val,Package,PosX,PosY,Rot,Side
C1,10uF,C_0805_2012Metric,2.4000,11.2000,0.00,Top
C2,100nF,C_0805_2012Metric,2.4000,13.8000,0.00,Top
C3,10uF,C_0805_2012Metric,9.0000,19.2000,90.00,Top
C4,100nF,C_0805_2012Metric,2.2000,23.8000,90.00,Top
D1,RED,LED_0805_2012Metric,15.6000,13.6000,90.00,Top
D2,GREEN,LED_0805_2012Metric,15.6000,18.6000,90.00,Top
J1,USB-C,USB_C_Receptacle_HRO_TYPE-C-31-M-12,9.0000,4.2000,180.00,Top
J2,BATT,JST_PH_B2B-PH-SM4-TB,9.0000,26.6000,0.00,Top
Q1,FS8205A,TSSOP-8_4.4x3mm_P0.65mm,13.0000,23.0000,0.00,Top
R1,5.1k,R_0805_2012Metric,4.5000,7.8000,90.00,Top
R2,5.1k,R_0805_2012Metric,13.5000,7.8000,90.00,Top
R3,1.2k,R_0805_2012Metric,2.4000,16.8000,0.00,Top
R4,1k,R_0805_2012Metric,15.6000,11.2000,0.00,Top
R5,1k,R_0805_2012Metric,15.6000,16.2000,0.00,Top
R6,100,R_0805_2012Metric,2.2000,21.0000,90.00,Top
R7,1k,R_0805_2012Metric,5.2000,25.4000,0.00,Top
U1,TP4056,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3.0mm,9.0000,13.5000,0.00,Top
U2,DW01A,SOT-23-6,5.2000,22.5000,0.00,Top
