"Refs","Value","Footprint","Qty","DNP"
"C1","2.2uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C2","1uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C3","2.2uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C4","2.2uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C5","2.2uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C6","2.2uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C7","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C8","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C9","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C10","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"C11","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"D1","5V","LED_SMD:LED_0805_2012Metric","1",""
"D2","3V3","LED_SMD:LED_0805_2012Metric","1",""
"D3","-VDD","LED_SMD:LED_0805_2012Metric","1",""
"D4","1Hz","LED_SMD:LED_0805_2012Metric","1",""
"D5","RX1","LED_SMD:LED_0805_2012Metric","1",""
"D6","TX1","LED_SMD:LED_0805_2012Metric","1",""
"J1","Jumper 3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J3","jp5","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1",""
"J4","jp2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J5","Jumper 3","LAB3_CA1_14:Jumper 3","1",""
"J6","Jumper 3","LAB3_CA1_14:Jumper 3","1",""
"J7","Connector_3x2","LAB3_CA1_14:Connector 3x2","1",""
"J8","Connector_3x2","LAB3_CA1_14:Connector 3x2","1",""
"R1","1k","Resistor_SMD:R_0805_2012Metric","1",""
"R2","1k","Resistor_SMD:R_0805_2012Metric","1",""
"R3","1k","Resistor_SMD:R_0805_2012Metric","1",""
"R4","1k","Resistor_SMD:R_0805_2012Metric","1",""
"R5","1k","Resistor_SMD:R_0805_2012Metric","1",""
"R6","1k","Resistor_SMD:R_0805_2012Metric","1",""
"R7","47k","Resistor_SMD:R_0805_2012Metric","1",""
"R8","100k","Resistor_SMD:R_0805_2012Metric","1",""
"SW2","ON/OFF SWITCH","LAB3_CA1_14:SWITCH_ON_OFF","1",""
"U1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U2","LM2776","Package_TO_SOT_SMD:SOT-23-6","1",""
"U3","CP2102","LAB3_CA1_14:CP2102","1",""
"U5","NE555","Package_SO:SO-8_3.9x4.9mm_P1.27mm","1",""
"USB1","Micro_USB","LAB3_CA1_14:Micro_USB","1",""
